"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"7442282755","826429","15909","16 nov 2023 05:14","30:45","1845","32-7","32,7","Radiant","BOOM Esports","Matthew, Mjz, Pakazs, SLATEMS, Sacred","Mad Kings Esports","SmAsH, Mr.Jeans, Adrian, Yadomi, Genek"
"7442279180","826428","15909","16 nov 2023 05:14","32:26","1946","35-8","35,8","Radiant","TSM","Timado, Whitemon, kasane, Bryle, Immersion","Fart Studios","Newsham, Fear, IAnnihilate, Jenkins, Jäger"
"7442273526","826424","15909","16 nov 2023 05:07","28:38","1718","35-17","35,17","Radiant","Riyadh Chefs","Attacker, Cridoz, Ownedme, Monster|Kill, ✪MENU","Gamax Esports","MeetYourBob, Mego'o-, NeverAgain, TheVeryFamous.ar3a, pma"
"7442262387","826423","15909","16 nov 2023 05:01","38:27","2307","45-20","45,20","Radiant","Team Klee","Zayac, destroyed, Young G, 6ym_6ym, Dream`","Moneymakers","Mannik, Bignum, CemaTheSlayeR, Palantimos, Lukas"
"7442261143","826422","15909","16 nov 2023 05:01","37:47","2267","27-26","27,26","Dire","Team Team","Ecnart, Crystallize, geoZziZi, INFERNAL, Moonlight","9Pandas","Afoninje, RAMZES666, V-Tune, RodjER, kiyotaka"
"7442171534","826393","15909","16 nov 2023 04:12","40:52","2452","30-19","30,19","Radiant","OG","Ceb, bzm, Yuragi, Wisper, Ari","Team Secret","Yamich, Puppey, MidOne, Crystallis, BOOM"
"7442158259","826394","15909","16 nov 2023 04:05","27:00","1620","11-40","11,40","Dire","Alliance","Handsken, S4, ChYuan, Pablo, CharlieDota","Entity","DM, Fishman, Watson, suzuya, Re1bl"
"7442022728","826394","15909","16 nov 2023 03:00","35:24","2124","37-16","37,16","Radiant","Entity","DM, Fishman, Watson, suzuya, Re1bl","Alliance","Handsken, S4, ChYuan, Pablo, CharlieDota"
"7442016414","826393","15909","16 nov 2023 03:00","39:48","2388","43-21","43,21","Radiant","OG","Ceb, bzm, Yuragi, Wisper, Ari","Team Secret","Yamich, Puppey, MidOne, Crystallis, BOOM"
"7441974162","826391","15909","16 nov 2023 02:35","1:12:05","4325","55-38","55,38","Radiant","1win","Egorka, swedenstrong, xxx, CHIRA JUNIOR, Munkushi~","9Pandas","Afoninje, RAMZES666, V-Tune, RodjER, kiyotaka"
"7441939844","826369","15909","16 nov 2023 02:17","27:41","1661","31-5","31,5","Radiant","Winter Bear","lowskill, Merlin, KaChal, Mikey, Slayer4","Woofer Fans","Kemps, blademoose, i make onions cry, -DragonSouL, qjY"
"7441910056","826381","15909","16 nov 2023 02:03","34:56","2096","14-33","14,33","Dire","Team Team","Ecnart, Crystallize, geoZziZi, INFERNAL, Moonlight","Virtus.pro","Fng, squad1x, kenny, Sayuw, Noticed"
"7441860243","826374","15909","16 nov 2023 01:36","33:19","1999","32-11","32,11","Radiant","1win","Egorka, swedenstrong, xxx, CHIRA JUNIOR, Munkushi~","9Pandas","Afoninje, RAMZES666, V-Tune, RodjER, kiyotaka"
"7441829371","826349","15909","16 nov 2023 01:17","51:45","3105","40-25","40,25","Radiant","BLEED","DJ, Masaros, FiXeRs smurf, JaCkky, Taiga","IHC","se, Ace12, elevennN, Sanctity-, X123"
"7441819059","826369","15909","16 nov 2023 01:11","40:00","2400","16-38","16,38","Dire","Woofer Fans","Kemps, blademoose, i make onions cry, -DragonSouL, qjY","Winter Bear","lowskill, Merlin, KaChal, Mikey, Slayer4"
"7441807593","826365","15909","16 nov 2023 01:07","28:02","1682","26-12","26,12","Radiant","Virtus.pro","Fng, squad1x, kenny, Sayuw, Noticed","Team Team","Ecnart, Crystallize, geoZziZi, INFERNAL, Moonlight"
"7441804894","826350","15909","16 nov 2023 01:02","41:43","2503","46-16","46,16","Radiant","Execration","Cml, Bob, Tino, Palos, Shanks","Neon Esports","Roddgeee, raging-_-potato, Chidori~ , Ken, PlayHard"
"7441801897","826351","15909","16 nov 2023 01:00","45:57","2757","38-35","38,35","Radiant","Go along","Victoria, TK, Meliodas, Reol., yMo","Ignite","Deth, QYQX, Ponlo, Dust, Ulu"
"7441795933","826352","15909","16 nov 2023 12:56","14:48","888","22-2","22,2","Radiant","Eagle","ButterflyEffect, Tz., Mianmian, ukiyo, 项羽","Team trust","に冷の少年でる雨雨, xzj, V1NECY, 红白灵梦, -----"
"7441721641","826344","15909","16 nov 2023 12:05","27:35","1655","44-10","44,10","Radiant","Team Liquid","INSaNiA, Boxi, 33, MiCKe, Nisha","D2 Hustlers","Davai Lama, Stoic, 9Class, Shad, Stojkov"
"7441709937","826342","15909","16 nov 2023 11:57","30:07","1807","37-9","37,9","Radiant","Team Tickles","Dukalis, , Nikko, Lorenof, Hustla","Nightshade Esports","Kyzko, Mali burgos, miniorc00, CodeX, seyokalash"
"7441707372","826352","15909","16 nov 2023 11:57","37:25","2245","16-41","16,41","Dire","Team trust","に冷の少年でる雨雨, xzj, V1NECY, 红白灵梦, -----","Eagle","ButterflyEffect, Tz., Mianmian, ukiyo, 项羽"
"7441703734","826351","15909","16 nov 2023 11:55","37:50","2270","39-11","39,11","Radiant","Go along","Victoria, TK, Meliodas, Reol., yMo","Ignite","Deth, QYQX, Ponlo, Dust, Ulu"
"7441701869","826350","15909","16 nov 2023 12:00","31:57","1917","23-16","23,16","Radiant","Execration","Cml, Bob, Tino, Palos, Shanks","Neon Esports","Roddgeee, raging-_-potato, Chidori~ , Ken, PlayHard"
